"","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio"
"167",167,683865,6,"Hotel Único"," Flamengo","3,1 km do centro"," A 550 m da praia",1,"606","€ 22",1,1,"1","7,8"
"168",168,1631024,6,"El Misti Hostel Ipanema"," Ipanema","9 km do centro"," Em frente à praia",NA,"1 722","€ 23",0,0,"1","8,5"
"169",169,1887100,6,"Le Chateaux Joá Boutique Hotel"," Joatinga","16 km do centro"," A 200 m da praia",5,"124","€ 166",1,1,"1","9,1"
"170",170,322563,7,"Pura Vida Hostel"," Copacabana","8 km do centro"," A 800 m da praia",NA,"533","€ 26",0,0,"1","7,3"
"171",171,471730,7,"Boulevard Bed & Breakfast"," Copacabana","7 km do centro"," A 800 m da praia",NA,"871","€ 24",0,0,"1","7,3"
"172",172,2491648,7,"Hostel Apoteose"," Rio de JaneiroMostrar no mapa","2,3 km do centro"," A 2,9 km da praia",NA,"485","€ 13",0,0,"1","7,8"
"173",173,5330677,7,"Bossa Nova Apartamento luxo Copacabana"," Copacabana","7 km do centro"," A 600 m da praia",NA,"11","€ 82",0,0,"1","9,6"
"174",174,1962448,7,"Villa 25"," Laranjeiras","3,4 km do centro"," A 1 km da praia",NA,"1 354","€ 25",1,1,"1","8,9"
"175",175,2397972,7,"Hotel Ferreira Viana"," Flamengo","2,9 km do centro"," A 500 m da praia",NA,"353","€ 16",1,1,"1","8,5"
"176",176,1703829,7,"Residence Inn by Marriott Rio de Janeiro Barra da Tijuca"," Barra da Tijuca","24 km do centro","",4,"81","€ 66",1,1,"0","8,8"
"177",177,2673883,7,"Barra First Class"," Barra da Tijuca","24 km do centro","",3,"170","€ 47",0,0,"1","7,1"
"178",178,1900211,7,"Hotel Barao Da Taquara"," Rio de JaneiroMostrar no mapa","18 km do centro","",NA,"126","€ 30",1,1,"1","7,2"
"179",179,281022,7,"Books Hostel"," Centro do Rio de Janeiro","1,6 km do centro"," A 1,9 km da praia",NA,"396","€ 38",1,1,"1","8,6"
"180",180,877548,7,"Villa Franca"," Santa Teresa","2,4 km do centro"," A 2 km da praia",3,"218","€ 38",0,0,"1","9,3"
"181",181,1873186,7,"Beach House Barra da Tijuca"," Barra da Tijuca","17 km do centro"," A 1,4 km da praia",NA,"460","€ 25",0,0,"1","7,3"
